TEAM_ABBREVIATION_HOME,TEAM_ABBREVIATION_AWAY,FGM_HOME,FG_PCT_HOME,FG3_PCT_HOME,DREB_HOME,AST_HOME,FGM_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,DREB_AWAY,LARGEST_LEAD_HOME,LARGEST_LEAD_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
DET,PHX,44,0.506,0.444,37,24,47,0.485,0.424,26,10,16,2,0,1
ATL,TOR,33,0.367,0.296,30,22,36,0.456,0.24,42,17,10,1,3,0
WAS,LAL,37,0.468,0.333,33,24,41,0.427,0.32,29,7,19,1,1,0
CHA,GSW,35,0.372,0.29,28,19,46,0.523,0.471,42,2,26,0,2,0
MIA,OKC,40,0.494,0.231,29,25,35,0.443,0.25,35,6,6,1,1,1
POR,IND,44,0.518,0.5,33,26,38,0.432,0.433,26,12,12,2,0,1
UTA,ORL,31,0.431,0.424,34,18,40,0.449,0.348,31,7,10,0,2,0
SAC,BOS,29,0.377,0.333,37,21,40,0.476,0.424,34,3,26,0,2,0
TOR,DEN,39,0.424,0.296,30,21,38,0.469,0.444,36,0,18,0,2,0
MEM,SAS,30,0.375,0.125,28,19,40,0.5,0.556,38,7,23,0,4,0
NYK,BKN,39,0.448,0.444,36,25,39,0.429,0.273,36,31,2,2,2,1
DET,MIL,34,0.415,0.304,38,18,39,0.448,0.222,42,14,0,3,1,1
DAL,HOU,37,0.457,0.276,31,23,39,0.464,0.462,30,7,12,2,2,0
ATL,LAL,37,0.5,0.385,34,24,32,0.372,0.481,27,19,0,2,0,1
WAS,PHX,40,0.488,0.385,26,19,43,0.512,0.435,23,3,10,2,0,1
NOP,CLE,42,0.494,0.36,35,25,39,0.438,0.303,31,13,11,1,1,1
PHI,DEN,37,0.5,0.484,33,22,37,0.457,0.355,34,11,6,0,2,0
SAS,BOS,44,0.53,0.294,36,26,39,0.453,0.414,28,17,10,2,0,1
CHI,CHA,37,0.416,0.36,40,29,37,0.416,0.294,37,5,9,1,3,0
LAC,ORL,37,0.451,0.387,35,25,40,0.444,0.3,36,9,12,2,0,1
HOU,SAC,36,0.462,0.471,30,25,46,0.469,0.385,34,15,4,3,1,1
MIA,CLE,37,0.544,0.438,38,21,31,0.365,0.214,25,27,1,2,1,1
UTA,IND,43,0.467,0.348,35,21,40,0.43,0.414,32,17,6,2,0,1
MIL,NYK,44,0.494,0.5,36,25,32,0.421,0.24,31,21,4,2,2,1
